pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
6649	Two teenage girls are wearing fancy dresses at an event	Two girls in their teens are wearing fancy dresses at an event	4.8	ENTAILMENT
7214	A brown dog is running across the yard with a toy in its mouth	There is no brown dog running across the yard with a toy in its mouth	3.8	CONTRADICTION
382	A brown and white dog is running through the tall grass	A brown and white dog is moving through the wild grass	4.4	NEUTRAL
1703	A man is emptying a container made of plastic	A man is emptying a container made of plastic completely	4.7	ENTAILMENT
4505	The doctors are healing a man	The doctor is helping the patient	4.2	ENTAILMENT
3861	A man is walking down a road	A man from the wilderness is on a walking path	3.4	NEUTRAL
3897	A man is exercising	There is no man exercising	3.4	CONTRADICTION
9975	A girl in a band is playing an instrument	The dog is snapping at some droplets of water	1	NEUTRAL
8633	A man is rock climbing, pausing and calculating the route	A man is rock climbing, stopping and calculating the route	4.8	ENTAILMENT
4067	The man is removing knives from a tree	The man is throwing knives at a tree	3.3	NEUTRAL
1469	There is no man running, jumping and kicking near a vending machine	Three young men are running, jumping and kicking near a vending machine	3.8	CONTRADICTION
4187	A dog is eating a doll	There is no dog playing with a toy	3.8	CONTRADICTION
6568	A woman is parking a blue bicycle and is wearing lots of riding helmets	A woman is wearing a blue helmet and is riding a bicycle in a parking lot	3.1	NEUTRAL
2704	Noodles are being boiled in water by a woman	A woman is boiling noodles in water	5	ENTAILMENT
3501	A dog is licking a baby	The dog is licking the baby	4.8	ENTAILMENT
8841	A small white dog is running across a lawn	A big white dog is running across a lawn	3.1	NEUTRAL
2606	The monkey is brushing a bull dog	A bull dog is brushing the monkey	3.9	NEUTRAL
6119	A black and white dog is dropping a baseball from its mouth	A brown and white dog is holding a baseball in its mouth	3.3	NEUTRAL
3181	The man is not hiking in the woods	A man is trekking in the woods	3.8	NEUTRAL
5352	There is no man playing a flute	A man is playing a large flute	4.1	CONTRADICTION
7582	The bunch of men are playing rugby on a field full of mud	Some men are playing rugby	4.5	ENTAILMENT
9771	Two small children are playing with a toy car in the street	A dog is running through a field and is chasing a toy	1.4	NEUTRAL
4803	A monkey is teasing a dog at the zoo	There is no monkey teasing a dog at the zoo	2.935	CONTRADICTION
7947	A kid in a white t-shirt is splashing in shallow water	A boy is running through the water at the beach	3.4	NEUTRAL
6932	The snowboarder is doing a flip over a mound of snow	Somebody is jumping in the air on a board	3.8	ENTAILMENT
4015	The lady is picking up the kangaroo	The woman is picking up the kangaroo	4.9	ENTAILMENT
6153	A race car driver is sitting down and is motionless	A race car driver is standing up and pointing his hand at the sky	3	NEUTRAL
2687	The person is not slicing a clove of garlic into pieces	The person is slicing a clove of garlic into pieces	3	CONTRADICTION
4164	The woman is erasing the drawing on the board	The man is erasing the drawing on the board	3.7	NEUTRAL
2019	Some dangerous men with knives are throwing a bike against a tree	A man is dangerously throwing knives at a tree	3.3	NEUTRAL
9880	A man is dancing on the road	A biker is riding away from a fence	1.2	NEUTRAL
8855	A black dog on a leash is walking in the water	The dog is on a leash and is walking near the water	4.5	NEUTRAL
2972	A large green ball is hitting a potato	A big green ball is missing a potato	3.4	CONTRADICTION
3518	A woman is dancing	The man is not dancing	3.3	NEUTRAL
9425	No dog is in the sand that is blowing in the wind	A dog is in a sandy area with the sand that is being stirred up into the air and several plants are in the background	4	CONTRADICTION
2410	An onion is being sliced with a knife by the woman	A man is preparing some dish	1.3	NEUTRAL
7820	Two dogs are looking at something that is splashing in the water	Some dogs are not playing in a stream	3.7	NEUTRAL
7726	A boy, who is wearing a blue coat, is being held by his father under an umbrella 	A boy under an umbrella is being held by his father who is wearing a blue coat	4.3	NEUTRAL
6078	A woman in jeans is sitting on the saddle of a horse	A person wearing jeans is sitting happily on the top of a horse saddle	4.2	NEUTRAL
225	A girl in white is dancing	The equipment in front of the blond dancing girl is sound	2.7	NEUTRAL
9571	An elder man is sitting on a bench and is wearing a gray jacket and black pants	An elderly man is sitting on a bench	4.5	ENTAILMENT
2996	A man is laying down a guitar	A man is playing a guitar	3.3	NEUTRAL
7533	A boy is holding a hose next to a man and another boy is watching	A child is watching someone playing outdoors and is spouting water over the rest of his family 	3	NEUTRAL
5030	The man is speaking on the telephone	The man is talking on the telephone	4.9	ENTAILMENT
8727	A group of people are standing around a sound mixing table	Some people is looking at sound equipment	3.5	ENTAILMENT
4983	A horse is being ridden by a woman	A woman is riding a horse	5	ENTAILMENT
3657	A boy is filling a pitcher with water	A pitcher is being filled with water by a boy	5	ENTAILMENT
9424	A dog is in the sand that is blowing in the air	A dog is in a sandy area with the sand that is being stirred up into the air and several plants are in the background	4.1	NEUTRAL
7007	A white dog is standing on fallen leaves	A white dog is lying on fallen leaves	3.8	NEUTRAL
1964	A person is playing a guitar and singing	One person is playing the guitar and singing	4.9	ENTAILMENT
526	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	A pedestrian woman is building pink bicycles for boa wearing riders	2.4	NEUTRAL
2726	A woman is rocking over a blanket lying on someone reading a book	A woman on a rock is lying on a blanket and reading a book	2.7	NEUTRAL
9963	The cop is sitting on a police bike	The animal is grazing on the grass	1	NEUTRAL
9822	A practicing jumper is tossing a person's snowboard into the air	Two people are riding a bike	2	NEUTRAL
4135	A dog is jumping on a trampoline	A dog is bouncing on a trampoline	4.7	ENTAILMENT
5349	A large flute is being played by a man	A man is playing a flute	4.3	ENTAILMENT
1493	A man is playing an electric guitar	A man is playing guitar	4.9	ENTAILMENT
7997	The kids are not wearing suits and water is splashing around	Children in swimming suits are playing in the water	2.8	NEUTRAL
2157	The picture of a camera set up is being taken by a man on the beach at the sunset	A man is taking pictures of a lake	3	NEUTRAL
9036	A white dog is approaching a golden dog on pebbly beach	Two dogs are playing on a rocky beach	2.9	NEUTRAL
1608	A snake is being fed a mouse by a man	No snake is being fed a mouse by a man	4.7	CONTRADICTION
4661	A woman is slicing a potato	A woman is cutting a potato	4.8	ENTAILMENT
3384	A panda bear is eating some bamboo	Some bamboo is being eaten by a panda bear	4.8	ENTAILMENT
7718	There is no man spraying a super soaker into the mouth of a dog	A man is spraying a super soaker into the mouth of a dog	3.8	CONTRADICTION
5706	A man is reloading a shotgun	A man is firing a shotgun	3.7	NEUTRAL
2965	A big green ball is missing a potato	A big green ball is knocking a potato	3.3	NEUTRAL
1137	The turtle is following the fish	A fish is hunting for a turtle in the sea	3.5	NEUTRAL
8461	A man with no hat is sitting on the ground	A man with a backwards hat is sitting on the ground	4	NEUTRAL
7795	A tennis player is jumping to the left	A tennis player is lunging to the left	4.4	ENTAILMENT
7546	A young girl in a blue leotard is jumping in the air	A young girl in a leotard colored in blue is jumping in the air	5	ENTAILMENT
6544	There is no hockey player in a yellow jersey guarding the goal	The ice hockey goalkeeper is wearing a yellow jersey and is defending the goal	4	CONTRADICTION
9188	A yellow dog is chasing a ball	A dog is turning on the grass and pursuing a flying tennis ball	4.4	NEUTRAL
9623	A man is wearing a blue shirt and walking barefoot on a tennis court	A woman is wearing a blue shirt and walking barefoot on a tennis court	3.6	NEUTRAL
2678	A man is hurriedly getting into a car in a garage	A man is getting into a car	4.1	ENTAILMENT
2286	The cat is playing passionately with a watermelon	A cat is playing with a watermelon	4.5	ENTAILMENT
6213	A man is standing on a boat in front of the sunset near a flag	A man is sitting on a boat in font of the sunset, near a flag	3.8	NEUTRAL
9242	The man in blue is posing for a picture next to a vehicle	A man is standing at the wheel of a classic American car that has its door and trunk open	3.2	NEUTRAL
2829	The lady is penciling on eyeshadow	The woman is penciling on eyeshadow	5	ENTAILMENT
530	A biker is wearing gear which is black	A biker wearing black is breaking the gears	3.1	NEUTRAL
1266	A band is playing on a stage	A band is playing onstage	5	ENTAILMENT
6756	A big brown dog and a small grey dog are standing on a rocky surface	A large brown dog and a small grey dog are standing on a rocky surface	4.8	ENTAILMENT
8786	A girl is skipping rope on a sidewalk	A girl is skipping rope on near a street	4.3	ENTAILMENT
6634	A horse and its rider are leaping over a barrier	A hurdle is being leapt by a horse that has a rider on its back	4.5	ENTAILMENT
1839	The girl, who is little, is carefully combing her hair into a pony tail	The girl, who is little, is combing her hair into a pony tail.	4.6	ENTAILMENT
6047	A man and a woman are in a room painted beige, wearing dark colored shirts and a monitor is in the background	A man and a woman are in a beige room, wearing dark colored shirts and a monitor is in the background	5	ENTAILMENT
280	A boy is standing outside the water	The boy is wading through the blue ocean	3.135	NEUTRAL
1676	The guitar is being played by the man	A boat is sailing peacefully over the water	1.1	NEUTRAL
3721	The person is slicing onions	Onions are being sliced by the person	4.9	ENTAILMENT
5924	The man is not doing exercises	The man is doing exercises	3.8	CONTRADICTION
7448	A small child is showing excitement on a swing set at the park	The girl, who is little, is swinging and the woman is standing behind	3.6	NEUTRAL
1412	Men are sawing logs	Men are cutting wood	4.5	ENTAILMENT
119	Five children are standing in a wooden hut	Five children are standing in front of a wooden hut	4.2	NEUTRAL
3322	A woman is cooking a breaded pork chop	The woman is chopping some bread and fried pork	3.2	NEUTRAL
4755	The girl is sitting on the couch and is crocheting	There is no girl playing the violin on a beach	1.4	NEUTRAL
8193	The adults and children are not gathered near an outdoor seating arrangement	The adults and children are being gathered near an outdoor seating arrangement	4.4	CONTRADICTION
8700	A black and orange bird is standing in the grass	The black bird with a yellow beak is standing in the green grass	4	NEUTRAL
3373	A woman is riding a water scooter	A woman is riding a scooter for water	4.1	ENTAILMENT
8500	The man is going into the water	The person is going into the sea	4.1	NEUTRAL
1178	There is no woman combing her hair	A woman is combing her hair	3.6	CONTRADICTION
2812	An animated airplane is taking off	A plane is landing	2.7	NEUTRAL
4767	There is no man cooking a snake	A man is cooking a snake	3.7	CONTRADICTION
6912	A woman is wearing a blue shirt with a white vest and a white cap and is talking and marching	The woman wearing the blue and white uniform with a white and blue hat is keeping her mouth open and is near others who are dressed in the same fashion	3.4	NEUTRAL
384	A white and tan dog is running through the tall and green grass	A white and tan dog is running through a field	4.35	ENTAILMENT
2525	People are riding and paddling a raft	A few people are floating on a raft	3.8	NEUTRAL
7466	The group of people is sitting in a dim room	The group of people is sitting in a room which is dim	4.9	ENTAILMENT
5588	A girl is eating a cupcake	A cupcake is being eaten by a girl	5	ENTAILMENT
765	The kid is happily sliding in the snow	A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees	4	NEUTRAL
3250	A woman is putting two eggs into a pot of water	A woman is placing two eggs into a pot of water	4.9	ENTAILMENT
2911	A woman is putting on makeup	There is no woman putting on makeup	4	CONTRADICTION
8963	A small group of people are standing and two are sitting on the sofa	A group of five young adults are lounging indoors	3.8	NEUTRAL
417	Two men with cars are on the side of a snowy road	Two men are taking a break from a trip on a snowy road	4	NEUTRAL
8343	A man in a motocross uniform is wearing a helmet and rides a red motorcycle	A person in a motocross uniform is wearing a helmet and rides a red motorcycle	4.8	ENTAILMENT
1503	Three boys in karate costumes are fighting	Three boys in karate costumes aren't fighting	3.3	CONTRADICTION
9677	A little girl and a woman wearing a yellow shirt are getting splashed by a city fountain	A young girl is playing on the edge of a fountain and an older woman is watching her	3.5	NEUTRAL
2130	A small boy is scolding a dog	A small boy is playing with a dog	3.4	NEUTRAL
3398	The woman isn't stirring eggs in a bowl	Someone is beating an egg	3.2	NEUTRAL
6625	A tan dog is running through the brush	There is no white dog with beige spots running through a field	2.7	NEUTRAL
4520	A man is playing a guitar	There is no man playing a guitar	3.6	CONTRADICTION
5914	A horse is being ridden by a person	A person is riding a horse	5	ENTAILMENT
9093	A veteran is showing different things from a war to some people	A large man is sitting in a military accessories store	2.8	NEUTRAL
9500	The dog is having a nap in the park	A big brown and white spotted dog is lying on a jacket on the street	2.9	NEUTRAL
5082	A woman is playing the violin	There is no man playing the piano	2.1	NEUTRAL
1877	The kittens on the trays are being eaten as food for an advertisement	The food on the trays is being eaten by the kittens	3.5	NEUTRAL
816	A group of people is equipped with gear used for protection	A group of people is equipped with protective gear	5	ENTAILMENT
7311	A man is wearing a straw hat and smoking a cigarette	A cigarette is being smoked by the man in the straw hat	4.8	ENTAILMENT
8658	No group of people is gathering at a stand at the fair	The people are standing at a carnival	3.8	NEUTRAL
5003	A big cat is opening a plastic drawer with its paws and is jumping inside	A cat is opening a drawer and jumping inside	4.4	ENTAILMENT
8263	Some people and vehicles are on a crowded street	Some people and vehicles are on a almost empty street	4.2	CONTRADICTION
7356	Two children are playing on a statue	Small children are climbing a statue in a park	4.1	NEUTRAL
2557	Someone is strumming the guitar	Someone is playing the guitar	4.5	ENTAILMENT
3292	A cook is coating a pork chop	A woman is grating carrots	2.1	NEUTRAL
9988	A dog is swimming after a tennis ball	A young man is pushing a motocross bike down a dirt hill	1	NEUTRAL
4006	A man is climbing a rope	The man is climbing up a rope	4.8	ENTAILMENT
8660	A group of rollerbladers is lining up on the road	A group of rollerbladers is lining up on the street	4.9	ENTAILMENT
2712	A karate practitioner is kicking at another man who is wearing protective boxing gloves	There is no karate practitioner kicking at another man who is wearing protective boxing gloves	4.3	CONTRADICTION
7002	Rugby players are not tackling each other	A soccer player is being tackled by his opponent	2.5	NEUTRAL
9303	A skateboarder is jumping in the air	The skateboarder is jumping in the air	4.9	ENTAILMENT
6866	A golden dog is running through a field of tall grass	There is no brown dog running through tall green grass	4	NEUTRAL
987	An adult is in the amphitheater and is talking to a boy	There is no adult in the amphitheater talking to a boy	4.3	CONTRADICTION
3680	There are no racers running down a track	Racers are running down a track	3.7	CONTRADICTION
9706	A black and white dog with a large branch is running in the field	A black and white dog with a large branch is standing in the field	4.2	CONTRADICTION
6330	A little boy in a pink shirt is running under a tree in the desert	A girl is wearing jeans and a pink shirt and is running	2.8	NEUTRAL
9490	A cluster of four brown dogs are playing in a field of brown grass	Four dogs are not playing in a grassy area	4	CONTRADICTION
4001	A man is recklessly climbing a rope	A man is climbing a rope	4.3	ENTAILMENT
4614	A man is driving a car	There is no man driving a car	4.4	CONTRADICTION
9132	A man in a black jersey is standing in a gym	A man in a jersey which is black is standing in a gym	4.9	ENTAILMENT
7795	A tennis player is jumping to the left	A tennis player is lunging to the left	4.4	ENTAILMENT
6764	Three boys are walking on rocks along a river	Three boys are resting on rocks along a river	3.8	NEUTRAL
2668	Ferrets are climbing down from a shelf	A few ferrets are climbing out of the cage	3.1	NEUTRAL
1400	A man is screaming	A sad man is crying	2.9	NEUTRAL
3002	A woman is playing an electric guitar	A man is laying down a guitar	2.3	NEUTRAL
6740	The people are not sitting on a bench in front of a restaurant	Three people are sitting on a bench under some palm trees	3.2	NEUTRAL
4852	A band is not playing some instruments	A band is playing some instruments	3.8	CONTRADICTION
6228	People at a drag race are running away from the flames that are coming out of the cars	The crowd is watching two racing cars that are leaving the starting line	2.6	NEUTRAL
7950	A boy in a white t-shirt is splashing in shallow water	A girl is running through the water at the beach	2.3	NEUTRAL
7937	A woman dressed in elegant clothing is inside a crowd of people and is looking down	A woman dressed in elegant clothing is inside a crowd of people and is looking up	3.1	NEUTRAL
7667	The man at the beach is not doing a handstand on the wet sand at the edge of the water	The man is doing a handstand on the wet sand at the edge of the water at the beach	3.7	CONTRADICTION
285	A bald person is playing a guitar	A person has blonde and flyaway hair and is playing a guitar	3.9	NEUTRAL
3909	The man is singing and playing the guitar	The guitar is being played by a man	4.3	ENTAILMENT
7544	A football player in a purple jersey is running with the ball for a touchdown	A football player is carrying an official past a rolling football	2.9	NEUTRAL
9584	The woman is holding the paintbrush next to the artist's easel 	The lady is holding the paintbrush next to the artist's easel 	4.9	ENTAILMENT
6784	A man dressed in black is wearing an elaborate black mask	There is no man dressed in black wearing an elaborate black mask	3.4	CONTRADICTION
8334	A man is doing a trick on a skateboard	A person is doing a trick on a skateboard	4.4	ENTAILMENT
3364	The woman is cleaning a shrimp	A woman is cleaning a shrimp	4.9	ENTAILMENT
8806	A dog is swimming in a body of water	An animal is swimming in a body of water	4.5	ENTAILMENT
1493	A man is playing an electric guitar	A man is playing guitar	4.9	ENTAILMENT
5938	Vegetables are being put into a pot by a man	Someone is pouring ingredients into a pot	4	ENTAILMENT
3174	A young boy is playing a wind instrument	A kid is throwing away an instrument	2.8	NEUTRAL
8832	A man is leaning on the ledge of a balcony	A woman is leaning on the ledge of a balcony	3.8	NEUTRAL
197	A motorcycle is riding standing up on the seat of the vehicle	Someone is on a black and white motorcycle and is standing on the seat	3.165	NEUTRAL
9822	A practicing jumper is tossing a person's snowboard into the air	Two people are riding a bike	2	NEUTRAL
7590	A person is looking at a bike designed for motocross that is lying on its side and another is racing by	The bike rider is looking at an accident of another bike rider	3.1	NEUTRAL
7541	There is no football player in a purple jersey running with the ball for a touchdown	A football player is running past an official carrying a football	3.3	NEUTRAL
3711	A toy train is striking a toy car	A toy train is missing a toy car	3.8	CONTRADICTION
8548	A toddler is making a splash inside a blue paddling pool	The child is splashing water in a big red pool	3.1	NEUTRAL
3982	A woman is refrigerating a potato	A woman is peeling a potato	3.7	NEUTRAL
2001	The horse is being ridden by a man	A man is riding the horse	5	ENTAILMENT
5930	The man is not doing exercises	Two men are fighting	2.3	NEUTRAL
9745	The little boy is sticking his tongue out for the camera and another boy is looking on	Two young boys are looking up at the camera and one is sticking out his tongue	4.4	NEUTRAL
717	A few men in a competition are running outside	A few men in a competition are running indoors	3.9	CONTRADICTION
5657	A person is eating in a restaurant	A person is making a bed	1.2	NEUTRAL
6158	A race car driver is standing up and is fiercely pointing his hand at the sky	The person in the blue jacket is wearing a colorful helmet	1.6	NEUTRAL
5588	A girl is eating a cupcake	A cupcake is being eaten by a girl	5	ENTAILMENT
2058	A lady is cutting up some meat precisely	Some meat is being cut into pieces by a woman	4.8	ENTAILMENT
873	Not a lot of people are in an ice skating park	An ice skating rink placed outdoors is full of people	3.5	NEUTRAL
4066	The man is hurling knives at a tree	The man is throwing knives at a tree	4.6	ENTAILMENT
4054	A dog is running breathlessly on the road	A dog is running on the road	4.5	ENTAILMENT
6146	Nobody is standing in the ocean and watching the sunset	Two people are standing in the ocean and watching the sunset	2.5	CONTRADICTION
1506	Three men are practicing karate outdoors	Three boys in karate costumes are fighting	3.8	NEUTRAL
3222	There is no boy walking across a bridge	A boy is walking across a bridge	3.7	CONTRADICTION
8986	A young girl in a bikini is jumping on the beach	A young girl in swimming suite is jumping on the beach	4.4	ENTAILMENT
9224	A dog is running with a ball	The black dog is carrying a blue and white ball in its mouth	4	NEUTRAL
3420	A big fish is catching a man	A woman is deboning a fish	1.9	NEUTRAL
9336	Four people are walking along a city sidewalk and the one in the green hat is phoning someone	A group of people is walking down the street and a person in a green hat is on the phone	4.2	NEUTRAL
630	The man is tossing a kid into the swimming pool that is near the ocean	A man isn't tossing a kid into the swimming pool that is near the ocean	3.5	CONTRADICTION
2544	Nobody is slicing a tomato	The person is slicing a vegetable	3.1	NEUTRAL
4086	There is no man drawing a picture	A man is drawing a picture	3.9	CONTRADICTION
4360	A man is cutting a note	A man is cutting a paper	4.4	ENTAILMENT
8714	Two white dogs are quickly running together	Two white dogs are running together	4.6	ENTAILMENT
2405	The lady is slicing a tomato	Someone is cutting a tomato	4.7	ENTAILMENT
4966	There is no woman slicing a fish	A woman is slicing a fish	2.7	CONTRADICTION
9314	A snowboarder is grinding down a long concrete rail	A person is doing acrobatics on a snowboard	3.3	NEUTRAL
4734	A man is applying a silencer to a gun	A man is fitting a silencer to a pistol	4.8	ENTAILMENT
7889	Two white dogs are playing with a brown dog and a tennis ball	Two white dogs are playing with a brown dog and a ball	4.7	ENTAILMENT
2795	A small guinea pig is gnawing and eating a piece of carrot on the floor	A guinea pig is devouring a carrot	4.5	ENTAILMENT
4011	A man is climbing a rope	A man is climbing up a rope	4.8	ENTAILMENT
2604	A bull dog is being brushed by the monkey	The monkey is brushing a bull dog	4.8	ENTAILMENT
3880	A man is dancing on the ceiling of a room	The man is dancing upside-down on the ceiling	4.4	ENTAILMENT
3061	A woman is driving a car and is talking to the man who is seated beside her	There is no woman driving a car and talking to the man seated beside her	4.7	CONTRADICTION
8576	A black dog and a small white and black dog are looking up at a kitchen countertop	A large dog and a small dog are standing next to the kitchen counter and are investigating	4.2	ENTAILMENT
592	A woman is taking off a cloak, which is very large, and revealing an extravagant dress	A woman is putting on a cloak, which is very large, and concealing an extravagant dress	3.5	CONTRADICTION
3459	A man is chopping a log with an axe	The man is chopping a tree trunk with an axe	4.4	NEUTRAL
7394	A child is swimming underwater in a pool	A child is smiling at the camera and swimming underwater	4.1	NEUTRAL
4140	A man is doing back flips on a trampoline	Several boys are jumping on a trampoline	3.4	NEUTRAL
304	An old, topless woman is covered in paint	A young, topless woman is covered in paint	3.8	NEUTRAL
6287	A black dog is running in the grass and its tongue is hanging out	A black dog is running in the grass	4.9	ENTAILMENT
7319	A man is wearing a blue shirt which has long sleeves and jeans and is riding a unicycle down a street	A man is wearing a blue checkered shirt and riding a unicycle in the street	4.3	NEUTRAL
4816	A person is cutting some ginger	There is no person cutting some ginger	3.8	CONTRADICTION
3733	Swimmers are racing in a lake	Some racers are swimming in a lake	4.3	ENTAILMENT
5047	A man is cutting onions	A woman is cutting an onion	3.5	NEUTRAL
4060	A man is running on the road	A dog is running breathlessly on the road	2.6	NEUTRAL
5799	A person is peeling a potato	A potato is being peeled by a person	5	ENTAILMENT
2791	A guinea pig, which is small, is gnawing and eating a piece of carrot on the floor	A small guinea pig is gnawing and eating a piece of carrot on the floor	4.8	ENTAILMENT
7064	A rollerblader is performing a trick on a ramp	A trick is being performed by a rollerblader on a ramp	5	ENTAILMENT
5454	A man is playing a flute	A man is not playing a flute	4.2	CONTRADICTION
8383	A girl in blue is sliding down a green slide	The young girl in blue is enjoying a slide	4.3	ENTAILMENT
402	A group of scouts are hiking through the grass	A group of explorers are walking through the grass	4.1	NEUTRAL
